"city","population","MCO","lat","lon","District","state","province","country"
"Corvallis",58641,700,44.5645659,-123.2620435,1,"OR","Oregon","US"
"Medford",74907,700,42.3264181,-122.8718605,1,"OR","Oregon","US"
"Bend",111823,700,44.0581728,-121.3153096,1,"OR","Oregon","US"
"Eugene",159150,700,44.0505054,-123.0950506,1,"OR","Oregon","US"
"South Hill",64708,701,47.1210893,-122.290702,33,"WA","Washington","US"
"Renton",106785,701,47.4799078,-122.2034496,33,"WA","Washington","US"
"Kent",136588,701,47.3826903,-122.2270272,33,"WA","Washington","US"
"Seattle",737015,701,47.6038321,-122.330062,33,"WA","Washington","US"
"Olympia",55605,702,47.0451022,-122.8950075,33,"WA","Washington","US"
"Lakewood",63612,702,47.1717649,-122.518458,33,"WA","Washington","US"
"Federal Way",101030,702,47.313494,-122.33931,33,"WA","Washington","US"
"Tacoma",219346,702,47.2455013,-122.438329,33,"WA","Washington","US"
"Pasco",77108,703,46.2306739,-119.0921,33,"WA","Washington","US"
"Yakima",96968,703,46.601557,-120.510842,33,"WA","Washington","US"
"Spokane Valley",102976,703,47.6571104,-117.2613936,33,"WA","Washington","US"
"Spokane",228989,703,47.6571934,-117.42351,33,"WA","Washington","US"
"Tigard",54539,704,45.4307473,-122.771933,1,"OR","Oregon","US"
"Beaverton",97494,704,45.4871723,-122.80378,1,"OR","Oregon","US"
"Hillsboro",106447,704,45.5228939,-122.989827,1,"OR","Oregon","US"
"Salem",155469,704,44.9391565,-123.033121,1,"OR","Oregon","US"
"East Honolulu",50922,705,21.2891309,-157.7173915,23,"HI","Hawaii","US"
"Waipahu",71894,705,21.3866667,-158.009166,23,"HI","Hawaii","US"
"Honolulu",350964,705,21.304547,-157.855676,23,"HI","Hawaii","US"
"Rancho Cordova",59921,706,38.5890723,-121.302728,21,"CA","California","US"
"Folsom",66123,706,38.6779591,-121.176058,21,"CA","California","US"
"Citrus Heights",88890,706,38.7071247,-121.2810611,21,"CA","California","US"
"Roseville",107158,706,38.7521235,-121.2880059,21,"CA","California","US"
"Cupertino",59276,707,37.3228934,-122.0322895,21,"CA","California","US"
"Milpitas",84196,707,37.4332273,-121.8989248,21,"CA","California","US"
"Salinas",157380,707,36.6744117,-121.655037,21,"CA","California","US"
"San Jose",1013240,707,37.3361663,-121.890591,21,"CA","California","US"
"Palo Alto",65364,708,37.4443293,-122.1598465,21,"CA","California","US"
"Redwood City",88314,708,37.4863239,-122.232523,21,"CA","California","US"
"San Mateo",103536,708,37.5629997,-122.3253265,21,"CA","California","US"
"San Francisco",873965,708,37.7792588,-122.4193286,21,"CA","California","US"
"Tulare",59278,709,36.2077351,-119.3473421,26,"CA","California","US"
"Madera",65706,709,36.9622745,-120.0594685,26,"CA","California","US"
"Visalia",130104,709,36.3302284,-119.292058,26,"CA","California","US"
"Fresno",520052,709,36.7394421,-119.78483,26,"CA","California","US"
"Turlock",73504,710,37.4946568,-120.8465941,21,"CA","California","US"
"Merced",83316,710,37.3029568,-120.4843269,21,"CA","California","US"
"Elk Grove",166913,710,38.4087993,-121.3716178,21,"CA","California","US"
"Stockton",305658,710,37.9577016,-121.290779,21,"CA","California","US"
"Santa Barbara",91196,711,34.4221319,-119.702667,26,"CA","California","US"
"Santa Maria",107408,711,34.9531295,-120.435857,26,"CA","California","US"
"Thousand Oaks",124207,711,34.1705609,-118.8375937,26,"CA","California","US"
"Oxnard",207254,711,34.1976308,-119.180381,26,"CA","California","US"
"Lynwood",71061,712,33.924831,-118.2024154,2,"CA","California","US"
"South Gate",94396,712,33.9463456,-118.200981,2,"CA","California","US"
"Inglewood",114914,712,33.9562003,-118.353132,2,"CA","California","US"
"Los Angeles",3898747,712,34.0536909,-118.242766,2,"CA","California","US"
"Diamond Bar",57759,713,34.0286226,-117.8103367,2,"CA","California","US"
"Baldwin Park",78568,713,34.0854739,-117.9611761,2,"CA","California","US"
"Norwalk",105549,713,33.9092802,-118.0849169,2,"CA","California","US"
"Downey",114355,713,33.9404441,-118.1292846,2,"CA","California","US"
"Pasadena",137122,714,34.1476507,-118.144155,26,"CA","California","US"
"Palmdale",152750,714,34.5793131,-118.11711,26,"CA","California","US"
"Santa Clarita",182371,714,34.4127963,-118.5538088,26,"CA","California","US"
"Glendale",200831,714,34.1469416,-118.2478471,26,"CA","California","US"
"Yorba Linda",65314,715,33.8901096,-117.8249705,2,"CA","California","US"
"Westminster",89701,715,33.7578725,-117.9859054,2,"CA","California","US"
"Garden Grove",170883,715,33.7746292,-117.9463717,2,"CA","California","US"
"Anaheim",350742,715,33.8347516,-117.911732,2,"CA","California","US"
"Apple Valley",68886,716,34.5008311,-117.1858759,26,"CA","California","US"
"Hesperia",83351,716,34.4263886,-117.3008784,26,"CA","California","US"
"Rancho Cucamonga",170714,716,34.1033192,-117.575173,26,"CA","California","US"
"San Bernardino",222101,716,34.1081621,-117.28946,26,"CA","California","US"
"Santee",60037,717,32.8383828,-116.9739167,2,"CA","California","US"
"El Cajon",106215,717,32.7947731,-116.962526,2,"CA","California","US"
"San Diego",1386932,717,32.7174202,-117.162772,2,"CA","California","US"
"Caldwell",59996,718,43.6678736,-116.689415,23,"ID","Idaho","US"
"Nampa",101410,718,43.5737361,-116.559631,23,"ID","Idaho","US"
"Meridian",117635,718,43.6086295,-116.392326,23,"ID","Idaho","US"
"Boise",235684,718,43.6166163,-116.200886,23,"ID","Idaho","US"
"Yuba City",66941,719,39.1404477,-121.6169108,21,"CA","California","US"
"Redding",91582,719,40.5863563,-122.391675,21,"CA","California","US"
"Vacaville",100670,719,38.3565773,-121.9877444,21,"CA","California","US"
"Fairfield",117133,719,38.2493581,-122.039966,21,"CA","California","US"
"Taylorsville",58048,720,40.6676347,-111.9388027,23,"UT","Utah","US"
"South Jordan",77487,720,40.5584882,-111.9367107,23,"UT","Utah","US"
"Sandy",96904,720,40.5710454,-111.8953815,23,"UT","Utah","US"
"West Jordan",116961,720,40.6061337,-111.9395211,23,"UT","Utah","US"
"Buckeye",91502,721,33.3703197,-112.583776,15,"AZ","Arizona","US"
"Peoria",190985,721,33.5806115,-112.237294,15,"AZ","Arizona","US"
"Glendale",248325,721,33.5386858,-112.185994,15,"AZ","Arizona","US"
"Phoenix",1608139,721,33.4484367,-112.074141,15,"AZ","Arizona","US"
"Broomfield",74112,722,39.9403995,-105.05208,3,"CO","Colorado","US"
"Greeley",103990,722,40.4233142,-104.7091322,3,"CO","Colorado","US"
